c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
0.5,100,0.0,-0.06747593243458301,1.1157128487999537,-0.0638811428854857,-1.2968357281188203,1.1293742328648306
0.75,150,0.0,0.1883802057361502,2.8426349538933944,0.11173126631244333,-2.8243305170124984,3.4038713346129827
0.9,180,0.0,0.34155668300370307,6.597889530828997,0.1329720203469331,-5.011976692876625,6.427343404370488
0.95,190,0.0,0.33913484293865936,14.13794850267905,0.0901943252789877,-14.375167038035741,15.71453055753099
0.98,196,0.0,0.2786757821370184,40.70111133911475,0.04368135430237701,-43.59399375999449,47.727526747625156
1.02,204,0.0,0.05238511237387208,116.52777307980878,0.004852808530936861,-87.83467041746601,99.48892316283755
1.05,210,0.0,0.38539562724833504,18.232534882237754,0.0902574908949993,-24.593080711817123,26.973849606994772
1.1,220,0.0,0.2870595970794195,9.02341765653268,0.09556228841305259,-9.007404432241357,9.508286733873163
1.25,250,0.0,0.10781897193941227,3.7672275159334196,0.05555002538194479,-4.0056553022513794,3.980047973303307
1.5,300,0.0,0.23499924051199259,1.6748823978916443,0.18158262894014449,-1.5785534026099168,2.1434937173619777
2.0,400,0.0,0.06471807150354916,0.9277574317239629,0.0671905732766356,-0.9326130336943479,1.1374297447720145
3.0,600,0.0,0.019194233397086764,0.4492202860890121,0.028637894930095654,-0.5144973124185287,0.5833694967823683
5.0,1000,0.0,0.03462117401730679,0.25051967552795573,0.06917049293170041,-0.1671360927181284,0.28642086260173033
7.0,1400,0.0,0.06370436353400728,0.21064092485117478,0.1388026649916777,-0.06466119060819563,0.18759677485685505
10.0,2000,0.0,0.04156304036106366,0.1430012220934848,0.10991005734494522,-0.06091993480915133,0.12674642126920874
0.5,100,0.1,-0.044527632491599564,0.659039584192619,-0.05484964919244582,-0.765313978235759,0.6380605535763986
0.75,150,0.1,0.05142124201941839,0.8543740605210373,0.05563121371627082,-0.9945206446135859,1.0291505766751994
0.9,180,0.1,0.096805378289481,0.9090563619842669,0.10153226652411662,-0.8921155011068408,1.088522680532005
0.95,190,0.1,0.10204158929822887,1.019854740963251,0.1010434240197026,-0.9625179816206817,1.1386802612787532
0.98,196,0.1,0.08014911668989633,1.143423425033721,0.07495406617239919,-1.060648343397642,1.1743869114475811
1.02,204,0.1,0.08517314778329454,1.1437969933097458,0.0796394446081751,-1.0758672739226023,1.175308474860956
1.05,210,0.1,0.09816932343332922,1.2065821943300181,0.08937114908134518,-1.0963920258524795,1.2062343091229004
