c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
0.5,100,0.0,-0.06747593243458301,1.1157128487999537,-0.0638811428854857,-1.2968357281188203,1.1293742328648306
0.75,150,0.0,0.1883802057361502,2.8426349538933944,0.11173126631244333,-2.8243305170124984,3.4038713346129827
0.9,180,0.0,0.34155668300370307,6.597889530828997,0.1329720203469331,-5.011976692876625,6.427343404370488
0.95,190,0.0,0.33913484293865936,14.13794850267905,0.0901943252789877,-14.375167038035741,15.71453055753099
0.98,196,0.0,0.2786757821370184,40.70111133911475,0.04368135430237701,-43.59399375999449,47.727526747625156
1.02,204,0.0,0.05238511237387208,116.52777307980878,0.004852808530936861,-87.83467041746601,99.48892316283755
1.05,210,0.0,0.38539562724833504,18.232534882237754,0.0902574908949993,-24.593080711817123,26.973849606994772
1.1,220,0.0,0.2870595970794195,9.02341765653268,0.09556228841305259,-9.007404432241357,9.508286733873163
1.25,250,0.0,0.10781897193941227,3.7672275159334196,0.05555002538194479,-4.0056553022513794,3.980047973303307
1.5,300,0.0,0.23499924051199259,1.6748823978916443,0.18158262894014449,-1.5785534026099168,2.1434937173619777
2.0,400,0.0,0.06471807150354916,0.9277574317239629,0.0671905732766356,-0.9326130336943479,1.1374297447720145
3.0,600,0.0,0.019194233397086764,0.4492202860890121,0.028637894930095654,-0.5144973124185287,0.5833694967823683
5.0,1000,0.0,0.03462117401730679,0.25051967552795573,0.06917049293170041,-0.1671360927181284,0.28642086260173033
7.0,1400,0.0,0.06370436353400728,0.21064092485117478,0.1388026649916777,-0.06466119060819563,0.18759677485685505
10.0,2000,0.0,0.04156304036106366,0.1430012220934848,0.10991005734494522,-0.06091993480915133,0.12674642126920874
0.5,100,0.0001,-0.06711477071449416,1.109702809145801,-0.06371105081042887,-1.2894525300150461,1.1223666025675973
0.75,150,0.0001,0.18569719651544175,2.799146613244253,0.11099221642167793,-2.7871411000443747,3.3501779622719745
0.9,180,0.0001,0.3312266071733927,5.947164192238212,0.135822040774412,-4.578317185081549,5.955905037397797
0.95,190,0.0001,0.3380540322374006,11.83487382012365,0.09826623223945324,-11.80219774030488,12.958812456035396
0.98,196,0.0001,0.1908148547342793,23.420322507664444,0.03942899844157715,-24.699994552476504,26.239065239813762
1.02,204,0.0001,0.2640903385464723,26.023226421351914,0.05176925832709886,-26.867482637571452,28.588335157510432
1.05,210,0.0001,0.3728642258180196,14.983769082098265,0.09632525815005748,-19.7123418303332,21.779921740371673
