family,param,fold,E[R_pi],SR,R2
ridge,0.0,1,-0.08670148809676516,-0.15895295130028214,-0.42034487999210196
ridge,0.0,2,-0.09336775016050322,-0.09640787482461605,-0.7479441194086339
ridge,0.0,3,0.17896882021456642,0.13323239832155517,-1.6880476868314624
ridge,0.0,4,0.3809219344667259,0.1400205918655491,-5.873580311517417
ridge,0.1,1,-0.08667476333468285,-0.15894790433440167,-0.4201468790955373
ridge,0.1,2,-0.09325331640522162,-0.09633737956605673,-0.747195466656954
ridge,0.1,3,0.1788878245476706,0.13331690665067691,-1.6839218211831346
ridge,0.1,4,0.3822515899232683,0.1411106252433203,-5.802974332013765
ridge,0.25,1,-0.08663471081726401,-0.15894033458912793,-0.41985021461104693
ridge,0.25,2,-0.09308204166624279,-0.09623175245986383,-0.7460752451226169
ridge,0.25,3,0.17876689185306335,0.13344326216110086,-1.6777713528686446
ridge,0.25,4,0.38415583312619306,0.14270725964620798,-5.700463969121993
ridge,0.5,1,-0.08656804878397502,-0.15892772023700283,-0.41935667003995974
ridge,0.5,2,-0.09279758167564567,-0.09605601524096029,-0.7442155250581258
ridge,0.5,3,0.17856681187873485,0.13365277736486436,-1.6676214204424946
ridge,0.5,4,0.3871033546175163,0.1452704742234444,-5.538095724063323
ridge,1.0,1,-0.08643506917742032,-0.15890249873377346,-0.4183729279871825
ridge,1.0,2,-0.09223237392499167,-0.09570569034057504,-0.7405232670912099
ridge,1.0,3,0.17817204385504287,0.13406782081140303,-1.6476907727191057
ridge,1.0,4,0.3922370280606627,0.15005847550696455,-5.24172034805377
ridge,2.5,1,-0.08603886323984264,-0.1588268940116934,-0.4154482056026406
ridge,2.5,2,-0.0905658632121377,-0.09466380754222278,-0.7296590310645855
ridge,2.5,3,0.17702830448796364,0.13528207502716602,-1.5906847064298428
ridge,2.5,4,0.402900001419621,0.16218338198834834,-4.5274195328585565
ridge,5.0,1,-0.08538748037919988,-0.15870109943054325,-0.4106602340140731
ridge,5.0,2,-0.0878816510679482,-0.09295696836056279,-0.7122291935932278
ridge,5.0,3,0.1752422265900246,0.13720922551223952,-1.5039735193607238
ridge,5.0,4,0.4106579099189124,0.17711131448676884,-3.706935983089401
lasso,0.0,1,-0.08670148809676516,-0.15895295130028214,-0.42034487999210196
lasso,0.0,2,-0.09336775016050322,-0.09640787482461605,-0.7479441194086339
lasso,0.0,3,0.17896882021456642,0.13323239832155517,-1.6880476868314624
lasso,0.0,4,0.3809219344667259,0.1400205918655491,-5.873580311517417
lasso,0.001,1,-0.08705662665485803,-0.10325067885422737,-0.7059789122802539
lasso,0.001,2,-0.15268739973108872,-0.12098089855424352,-1.195074624069444
lasso,0.001,3,0.26781249468861834,0.17923124324107123,-1.6962637963634741
lasso,0.001,4,0.5104272743730099,0.1951068553861363,-3.928835451423334
lasso,0.005,1,-0.05387525066809156,-0.05532882041926908,-0.7908940768724988
lasso,0.005,2,-0.11288950341156372,-0.09131174287482856,-1.1533081077234906
lasso,0.005,3,0.18037691874462933,0.13276670878747657,-1.4723559073150803
lasso,0.005,4,0.39858667203115866,0.2299163382735279,-1.4864530186556315
lasso,0.01,1,-0.05343998166137521,-0.054315983359255506,-0.7940374534907167
lasso,0.01,2,-0.09441848507394747,-0.08327327972660868,-0.9759259563691802
lasso,0.01,3,0.14627717533255905,0.13403788561595542,-0.940511450042418
lasso,0.01,4,0.3125478087816201,0.24645387245736405,-0.5618450345004222
lasso,0.05,1,-0.06802102685506096,-0.08424143394113219,-0.5763875038376796
lasso,0.05,2,-0.09417117853663942,-0.16975381445146145,-0.34293472948317
lasso,0.05,3,0.054431450108733764,0.1273167680603545,-0.09471248318363434
lasso,0.05,4,0.09434183502487029,0.26785601573713297,0.07324906311238645
lasso,0.1,1,-0.03506064367488546,-0.061937052192493285,-0.2955262808575923
lasso,0.1,2,-0.035084348672620815,-0.1302810612190771,-0.10439697997840332
lasso,0.1,3,0.011903840079204527,0.09102373043002608,0.000595491035844759
lasso,0.1,4,0.012247420440812947,0.1425171367173914,0.016706814753818747
lasso,0.2,1,0.0012388867448420576,0.00694730722267782,-0.023685821579108136
lasso,0.2,2,0.0004463128906750391,0.01704798532957308,0.0002921220737383782
lasso,0.2,3,0.0,,0.0
lasso,0.2,4,0.0,,0.0
