family,param,mean_SR,mean_E,mean_R2,SR_std,stability
ridge,5.0,0.16340741918847043,0.04930860918922346,-0.017573537939475373,0.1270490208451833,0.7287692088934358
ridge,2.5,0.163373310922441,0.04935508241033635,-0.017833852787559598,0.12706067594595832,0.7286744217701339
ridge,1.0,0.1633527689080589,0.049383007167357496,-0.017991153917170523,0.1270677126637404,0.728617254486455
ridge,0.5,0.1633459086701234,0.04939232223251991,-0.018043774392268085,0.12707006555440525,0.7285981492429401
ridge,0.25,0.16334247612677916,0.04939698104323303,-0.018070119780254724,0.1270712433758404,0.7285885873135666
ridge,0.1,0.16334041582400124,0.04939977673862247,-0.018085938278340867,0.1270719505098551,0.7285828471736696
ridge,0.0,0.16333904196630683,0.04940164070654378,-0.018096488640607186,0.1270724221157073,0.7285790191704129
lasso,0.0,0.16333904196630683,0.04940164070654378,-0.018096488640607186,0.1270724221157073,1.0
lasso,0.05,0.06627520143044084,0.03265658974374912,-0.2487352101525975,0.19522754159162975,0.15432098765432098
lasso,0.1,0.05301039636740987,0.02661456332298747,-0.14661884058873867,0.19547695004197949,0.15625
lasso,0.001,0.0060238634195328156,-0.009795168631528649,-0.24466842734023736,0.15839814246684517,0.2708333333333333
lasso,0.01,0.00035402105780460436,-0.017704266273980106,-0.383659894225948,0.19206465866917752,0.14960629921259844
lasso,0.005,-0.00793544448260683,-0.020342853982447416,-0.35921489406040813,0.17157045668874848,0.1611842105263158
lasso,0.2,-0.06287141645717187,-0.00883956672810249,-0.07489489720271189,0.13390527468271882,0.1232876712328767
