family,param,fold,E[R_pi],SR,R2
ridge,0.0,1,0.029803249271900638,0.15739611494970077,0.016914173042503568
ridge,0.0,2,0.041738881068468764,0.1169946820056888,-0.006046388265051851
ridge,0.0,3,0.04090517492286823,0.08636352842897804,-0.06306261730022215
ridge,0.0,4,0.121908671130537,0.24362792265377256,-0.12313017901731044
ridge,0.1,1,0.029801459434449475,0.15739558596108988,0.016915978668750543
ridge,0.1,2,0.04173574942667407,0.1169926491958211,-0.006042930573465204
ridge,0.1,3,0.040903472877403355,0.08636625621020441,-0.06304438987847688
ridge,0.1,4,0.12188534695283584,0.24361456047003097,-0.12309099922733718
ridge,0.25,1,0.029798775113449583,0.15739479261773026,0.016918686065861336
ridge,0.25,2,0.04173105291928472,0.1169896005851621,-0.006037745570011198
ridge,0.25,3,0.04090092028664036,0.08637034748092971,-0.06301705934791019
ridge,0.25,4,0.1218503839225911,0.24359452653468358,-0.12303227239989124
ridge,0.5,1,0.02979430240635054,0.15739347075582955,0.016923195618889195
ridge,0.5,2,0.04172322795293278,0.11698452117730405,-0.006029107986773569
ridge,0.5,3,0.04089666724042525,0.08637716519406728,-0.06297153671655395
ridge,0.5,4,0.1217921740779648,0.24356116153886245,-0.12293450841195015
ridge,1.0,1,0.02978536134305053,0.15739082844032143,0.016932204324193432
ridge,1.0,2,0.0417075875601633,0.11697436839429547,-0.00601184814041193
ridge,1.0,3,0.04088816591247961,0.08639079660627576,-0.06288059725230984
ridge,1.0,4,0.121675985788892,0.24349452479955264,-0.12273940665966036
ridge,2.5,1,0.029758572906797967,0.15738291274539415,0.016959147424834897
ridge,2.5,2,0.04166074255734584,0.1169439582258798,-0.005960190882246318
ridge,2.5,3,0.040862699918968515,0.08643165872075438,-0.06260862231850157
ridge,2.5,4,0.12132925975061232,0.2432953583862407,-0.12215748163624791
ridge,5.0,1,0.029714041000268927,0.1573697573174068,0.017003777137458813
ridge,5.0,2,0.04158292051171791,0.11689343467735995,-0.005874501195303755
ridge,5.0,3,0.0408203824181766,0.08649965514485361,-0.06215812289797503
ridge,5.0,4,0.12075743119547352,0.24296587898733704,-0.1211986808046443
lasso,0.0,1,0.029803249271900638,0.15739611494970077,0.016914173042503568
lasso,0.0,2,0.041738881068468764,0.1169946820056888,-0.006046388265051851
lasso,0.0,3,0.04090517492286823,0.08636352842897804,-0.06306261730022215
lasso,0.0,4,0.121908671130537,0.24362792265377256,-0.12313017901731044
lasso,0.001,1,0.051970070693774434,0.17696675462095507,0.01298159565467389
lasso,0.001,2,0.07617862424175675,0.12648545818679802,-0.09355838692502406
lasso,0.001,3,0.09608168065447178,0.17563952399034097,-0.09054578473741556
lasso,0.001,4,0.08060660057612437,0.12185447644674399,-0.5649373157629728
lasso,0.005,1,0.07310250112973954,0.1613207953270842,-0.019448326018430964
lasso,0.005,2,0.10229819039454596,0.13895954504889227,-0.14596228920701698
lasso,0.005,3,0.07023342686789784,0.12221744520361913,-0.22225042685968463
lasso,0.005,4,0.11165689960285473,0.16404880428700358,-0.5247599165208978
lasso,0.01,1,0.06329433019708566,0.11356437894949845,-0.10100441528972685
lasso,0.01,2,0.10612682280923538,0.14854926632549945,-0.15263330963247035
lasso,0.01,3,0.05088016562714258,0.09458356268287021,-0.24440158694330408
lasso,0.01,4,0.12485137672438196,0.19035603086953248,-0.4540411610846506
lasso,0.05,1,0.04955165609531848,0.08684229239746384,-0.13632061591587163
lasso,0.05,2,0.08834034881189257,0.13783399422352816,-0.10982103194458713
lasso,0.05,3,0.039733875565639426,0.09624750832829876,-0.1236194414663195
lasso,0.05,4,0.017536715710273612,0.04548026735278552,-0.23686913951053848
lasso,0.1,1,0.03271224951712168,0.0741417182345404,-0.10171263104804243
lasso,0.1,2,0.056193535701768674,0.10674145065300808,-0.06559862771854315
lasso,0.1,3,0.024551371441955423,0.08577854922516062,-0.049639989890894215
lasso,0.1,4,-0.024635333609416693,-0.10543248572698612,-0.13055455926991016
lasso,0.2,1,0.026299804362858947,0.09014437511170345,-0.030219985679257686
lasso,0.2,2,0.023860308285083776,0.10608967996127619,0.005222245622532491
lasso,0.2,3,-0.000424005043515609,-0.006755991724162995,-0.004611275803437367
lasso,0.2,4,-0.008752265616929137,-0.19436243317666818,-0.020647047948777957
